TotalBsmtSF,BedroomAbvGr,Fireplaces,PoolArea,GarageCars,WoodDeckSF,ScreenPorch,Expensive,MSZoning,Heating,Street,CentralAir,Foundation,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,KitchenQual,MSSubClass,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,KitchenAbvGr,TotRmsAbvGrd,GarageYrBlt,GarageArea,OpenPorchSF,EnclosedPorch,3SsnPorch,MiscVal,MoSold,YrSold,Id,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition2,BldgType,HouseStyle,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,BsmtFinType2,HeatingQC,Electrical,Functional,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,SaleType,SaleCondition
856,3,0,0,2,0,0,0,RL,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,No,GLQ,Gd,60,7,5,2003,2003,196,706,0,150,856,854,0,1710,1,0,2,1,1,8,2003,548,61,0,0,0,2,2008,1,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Unf,Ex,SBrkr,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
1262,3,1,0,2,298,0,0,RL,GasA,Pave,Y,CBlock,TA,TA,Gd,TA,Gd,ALQ,TA,20,6,8,1976,1976,0,978,0,284,1262,0,0,1262,0,1,2,0,1,6,1976,460,0,0,0,0,5,2007,2,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Norm,1Fam,1Story,Gable,MetalSd,MetalSd,None,Unf,Ex,SBrkr,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
920,3,1,0,2,0,0,0,RL,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,Mn,GLQ,Gd,60,7,5,2001,2002,162,486,0,434,920,866,0,1786,1,0,2,1,1,6,2001,608,42,0,0,0,9,2008,3,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Unf,Ex,SBrkr,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
756,3,1,0,3,0,0,0,RL,GasA,Pave,Y,BrkTil,TA,TA,TA,Gd,No,ALQ,Gd,70,7,5,1915,1970,0,216,0,540,961,756,0,1717,1,0,1,0,1,7,1998,642,35,272,0,0,2,2006,4,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,1Fam,2Story,Gable,Wd Sdng,Wd Shng,None,Unf,Gd,SBrkr,Typ,Detchd,Unf,TA,TA,Y,WD,Abnorml
1145,4,1,0,3,192,0,0,RL,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,Av,GLQ,Gd,60,8,5,2000,2000,350,655,0,490,1145,1053,0,2198,1,0,2,1,1,9,2000,836,84,0,0,0,12,2008,5,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Unf,Ex,SBrkr,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
796,1,0,0,2,40,0,0,RL,GasA,Pave,Y,Wood,TA,TA,Gd,TA,No,GLQ,TA,50,5,5,1993,1995,0,732,0,64,796,566,0,1362,1,0,1,1,1,5,1993,480,30,0,320,700,10,2009,6,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,1Fam,1.5Fin,Gable,VinylSd,VinylSd,None,Unf,Ex,SBrkr,Typ,Attchd,Unf,TA,TA,Y,WD,Normal
1686,3,1,0,2,255,0,1,RL,GasA,Pave,Y,PConc,Gd,TA,Ex,TA,Av,GLQ,Gd,20,8,5,2004,2005,186,1369,0,317,1694,0,0,1694,1,0,2,0,1,7,2004,636,57,0,0,0,8,2007,7,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,Stone,Unf,Ex,SBrkr,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
1107,3,2,0,2,235,0,0,RL,GasA,Pave,Y,CBlock,TA,TA,Gd,TA,Mn,ALQ,TA,60,7,6,1973,1973,240,859,32,216,1107,983,0,2090,1,0,2,1,1,7,1973,484,204,228,0,350,11,2009,8,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,1Fam,2Story,Gable,HdBoard,HdBoard,Stone,BLQ,Ex,SBrkr,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
952,2,2,0,2,90,0,0,RM,GasA,Pave,Y,BrkTil,TA,TA,TA,TA,No,Unf,TA,50,7,5,1931,1950,0,0,0,952,1022,752,0,1774,0,0,2,0,2,8,1931,468,0,205,0,0,4,2008,9,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,1Fam,1.5Fin,Gable,BrkFace,Wd Shng,None,Unf,Gd,FuseF,Min1,Detchd,Unf,Fa,TA,Y,WD,Abnorml
991,2,2,0,1,0,0,0,RL,GasA,Pave,Y,BrkTil,TA,TA,TA,TA,No,GLQ,TA,190,5,6,1939,1950,0,851,0,140,1077,0,0,1077,1,0,1,0,2,5,1939,205,4,0,0,0,1,2008,10,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,2fmCon,1.5Unf,Gable,MetalSd,MetalSd,None,Unf,Ex,SBrkr,Typ,Attchd,RFn,Gd,TA,Y,WD,Normal
